Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
72	0.017089244293757584	-2874.70129630316	-2865.7539278821073	3122.789818621029	3131.6563789612733	0.0	0.0	0.0	0.0	inf	inf	-2748.659547301698	3237.710236828245	0.0
73	0.03564455954080677	-2665.421973836296	-2659.4513856010017	3332.069141087893	3337.958921242379	0.0	0.0	0.0	0.0	inf	inf	-2561.622886423327	3424.7468977066155	0.0
74	0.12712425918898038	-2322.679855557177	-2322.186704872245	3674.811259367012	3675.2236019711354	0.0	0.0	0.0	0.0	inf	inf	-2293.022973439186	3693.3468106907567	0.0
75	0.03296086649450566	-2698.982909477835	-2694.9973499110483	3298.5082054463537	3302.4129569323322	0.0	0.0	0.0	0.0	inf	inf	-2613.719373388611	3372.6504107413316	0.0
76	0.0014093641252562422	-3671.789801732951	-3670.8763069232627	2325.7013131912377	2326.533999920118	0.0	0.0	0.0	0.0	inf	inf	-3631.0115888207138	2355.358195309229	0.0
77	0.03764829910472535	-2638.959907869082	-2630.5554134870595	3358.5312070551067	3366.854893356321	0.0	0.0	0.0	0.0	inf	inf	-2516.6252691323693	3469.7445149975733	0.0
78	0.01067749131021381	-3060.265017785466	-3059.1816844521327	2937.2260971387227	2938.228622391248	0.0	0.0	0.0	0.0	inf	inf	-3015.7796946084795	2970.590089521463	0.0
79	0.0073877854715352805	-3111.1262932901545	-3097.1262932901545	2886.3648216340343	2900.284013553226	0.0	0.0	0.0	0.0	inf	inf	-2955.4276621707018	3030.942121959241	0.0
80	0.015318551817054726	-2889.6260747526744	-2874.902339344114	3107.8650401715145	3122.5079674992667	0.0	0.0	0.0	0.0	inf	inf	-2730.220333368473	3256.14945076147	0.0
81	0.004699633675495271	-3281.2816748104083	-3276.5544020831358	2716.2094401137806	2720.855904760245	0.0	0.0	0.0	0.0	inf	inf	-3188.6039181916863	2797.7658659382564	0.0
82	0.0006390846920196155	-3911.8377354626045	-3911.079114772949	2085.6533794615843	2086.3311920704314	0.0	0.0	0.0	0.0	inf	inf	-3874.766632815116	2111.603151314827	0.0
83	0.0010664731692804203	-3695.703041297461	-3682.4057440001634	2301.788073626728	2315.004562843217	0.0	0.0	0.0	0.0	inf	inf	-3543.711520442757	2442.658263687186	0.0
84	0.010053697909814276	-3044.3844327291013	-3037.9637685224593	2953.1066821950876	2959.4465383209213	0.0	0.0	0.0	0.0	inf	inf	-2936.878235051384	3049.491549078559	0.0
